ID,Battery Capacity (in mAH),Bluetooth,Clock Speed (in GHz),Dual Sim Support,Front Camera (in MP),4G Support,Internal Memory (in GB),Mobile Depth (in cm),Mobile Weight (in g),Number of cores,Primary Camera (in MP),RAM (in MB),Talk Time (in hrs),3G Support,Touch Screen,Wifi Support,Pixel Dots,Screen Area (in sq.cm),Price Range
1431,1672,Yes,1.7,Yes,1,Yes,44,0.5,172,8,4,1348,7,Yes,Yes,Yes,1793750,66,Low
1432,1283,Yes,0.7,Yes,0,Yes,27,0.2,80,4,6,3957,6,Yes,No,No,2182605,255,High
1433,630,No,2,No,9,Yes,14,0.5,180,8,13,1212,12,Yes,No,No,95568,96,Very Low
1434,659,No,2.2,No,0,Yes,24,0.7,151,8,2,3925,10,Yes,Yes,Yes,1734348,8,High
1435,1811,Yes,0.5,Yes,0,No,32,1,115,6,0,348,18,Yes,No,Yes,230928,187,Very Low
1436,688,Yes,2.5,No,9,No,40,0.2,109,5,20,1382,8,No,Yes,No,735832,84,Low
1437,514,Yes,2.9,Yes,5,No,18,0.7,141,2,8,980,16,No,No,Yes,1615836,91,Very Low
1438,1933,No,2.8,Yes,1,No,16,0.5,154,3,9,838,18,No,Yes,No,337317,28,Very Low
1439,915,No,2,No,8,Yes,31,0.3,91,3,20,378,9,Yes,Yes,No,1151500,66,Very Low
1440,1006,No,2.2,Yes,4,Yes,22,0.8,135,4,8,909,7,Yes,No,Yes,34685,72,Very Low
1441,1134,Yes,0.9,No,2,Yes,13,0.4,92,4,19,3632,19,Yes,Yes,No,16254,136,High
1442,599,Yes,2.9,No,0,Yes,64,0.3,186,8,1,3396,7,Yes,No,No,66538,15,Average
1443,973,No,0.5,Yes,5,No,53,0.5,196,5,7,1861,16,No,Yes,No,61740,130,Low
1444,1180,Yes,2.5,No,0,Yes,27,0.1,90,6,1,348,19,Yes,Yes,Yes,90720,35,Very Low
1445,1237,Yes,2.5,No,7,No,13,0.8,98,4,12,2528,16,No,No,No,18072,88,Average
1446,659,No,0.5,Yes,7,Yes,5,0.3,169,8,10,2190,16,Yes,Yes,No,481070,160,Low
1447,1142,Yes,1.4,Yes,6,No,6,0.7,190,8,8,663,5,No,Yes,Yes,456570,48,Very Low
1448,1002,No,2.7,Yes,16,Yes,11,0.4,185,6,18,961,19,Yes,No,Yes,145920,70,Very Low
1449,1392,No,2.5,No,0,Yes,44,0.7,113,4,2,1280,16,Yes,No,Yes,529236,8,Low
1450,602,No,0.9,No,9,No,50,0.9,141,8,18,2189,16,No,Yes,No,2697407,35,Average
1451,1249,Yes,0.5,No,3,Yes,55,0.8,140,3,8,531,13,Yes,Yes,Yes,721765,180,Very Low
1452,531,Yes,0.5,Yes,0,Yes,12,0.5,121,4,3,2331,20,Yes,No,Yes,261806,216,Low
1453,1450,No,2.1,No,1,No,31,0.6,114,5,4,794,9,No,Yes,Yes,2578147,55,Low
1454,1342,No,2.8,No,1,No,50,0.1,173,1,8,2644,11,No,Yes,Yes,78740,14,Average
1455,832,Yes,0.5,No,5,Yes,22,0.6,198,1,8,1666,20,Yes,Yes,Yes,490833,60,Low
1456,867,Yes,1.5,No,0,Yes,57,0.1,159,4,0,2157,18,Yes,No,No,209236,48,Low
1457,1404,No,2.1,No,16,No,44,0.9,151,1,20,1196,5,No,No,Yes,3201640,60,Low
1458,840,No,0.9,Yes,6,No,33,0.7,150,6,7,2072,19,No,Yes,No,2357862,80,Average
1459,1368,No,0.5,No,10,Yes,42,0.2,91,1,20,1590,14,Yes,No,No,838975,0,Low
1460,1927,No,0.9,Yes,3,No,11,0.4,190,8,12,2916,18,No,Yes,Yes,739446,176,High
1461,1714,No,0.5,Yes,7,No,31,0.4,120,2,10,3707,19,No,No,Yes,179949,5,High
1462,1201,Yes,0.5,No,1,Yes,10,0.4,198,6,5,726,3,Yes,Yes,No,1983173,44,Very Low
1463,1796,Yes,2.3,No,4,No,44,0.9,184,2,11,3577,4,Yes,Yes,No,1395712,119,High
1464,1147,No,0.8,Yes,11,No,28,0.7,158,6,13,2627,15,Yes,No,Yes,1230390,54,Average
1465,776,Yes,1.7,No,0,Yes,20,1,146,4,9,685,7,Yes,Yes,Yes,1786773,165,Very Low
1466,510,No,2.6,No,0,No,33,0.1,110,6,10,1693,5,No,Yes,No,1995644,12,Low
1467,1045,Yes,1.2,Yes,3,Yes,40,0.1,175,6,7,2137,12,Yes,No,Yes,1685992,88,Average
1468,1497,Yes,0.9,Yes,4,Yes,10,0.1,153,8,20,3696,3,Yes,No,Yes,95746,0,High
1469,1425,Yes,0.6,No,0,Yes,33,0.5,89,3,2,3771,9,Yes,No,Yes,652608,30,High
1470,726,No,2.2,No,0,Yes,40,0.8,94,4,20,1342,4,Yes,Yes,Yes,315894,176,Very Low
1471,1576,Yes,2,No,0,Yes,20,0.6,148,3,0,1379,16,Yes,No,Yes,635910,17,Low
1472,714,Yes,2.1,Yes,5,Yes,11,0.1,197,3,6,1164,19,Yes,Yes,No,3249750,180,Low
1473,1595,No,1.9,Yes,1,No,63,0.9,88,1,20,908,6,No,No,Yes,2932300,234,Low
1474,541,No,1,No,0,Yes,10,0.4,127,4,0,1019,15,Yes,Yes,No,3438828,171,Low
1475,1617,Yes,2.6,No,14,No,29,0.9,113,6,20,3685,18,No,No,No,191308,13,High
1476,1154,No,1.1,Yes,2,Yes,5,0.2,98,1,13,1470,12,Yes,No,No,668360,0,Low
1477,1638,No,1,No,6,No,2,0.2,189,1,11,2299,9,Yes,Yes,Yes,247720,171,Average
1478,1150,Yes,2.7,No,0,No,39,0.4,151,8,1,999,11,Yes,Yes,No,317600,12,Very Low
1479,1254,Yes,2.3,No,0,Yes,44,0.2,149,1,10,3011,12,Yes,Yes,No,208284,28,Average
1480,1806,Yes,2,Yes,2,Yes,54,0.1,117,1,11,3142,6,Yes,No,Yes,252269,0,High
1481,603,No,1.5,No,8,No,12,0.7,114,6,20,1543,19,Yes,Yes,No,1287852,35,Low
1482,1834,No,2.1,No,7,Yes,40,0.1,99,4,11,3692,16,Yes,Yes,No,0,0,High
1483,520,No,2.3,No,0,Yes,31,0.8,145,6,14,2753,17,Yes,No,Yes,137016,91,Low
1484,565,No,0.6,Yes,1,No,50,0.1,158,2,8,2156,6,Yes,Yes,Yes,381729,78,Low
1485,1689,Yes,0.5,No,11,No,9,0.5,150,5,15,2637,3,Yes,No,No,315225,32,Average
1486,742,Yes,2.3,No,0,No,21,0.7,104,8,1,331,7,Yes,No,No,809375,88,Very Low
1487,1143,No,1.2,Yes,1,Yes,22,1,125,3,6,1214,16,Yes,Yes,No,1923984,60,Low
1488,761,Yes,0.5,No,9,No,3,0.8,196,7,15,2248,15,Yes,Yes,Yes,2577125,57,Average
1489,959,Yes,1.3,Yes,0,No,36,0.4,196,5,14,3073,8,Yes,Yes,Yes,1747603,19,High
1490,772,Yes,1.2,Yes,7,Yes,8,0.6,134,7,8,422,15,Yes,No,No,994704,42,Very Low
1491,1015,Yes,0.8,No,5,No,12,0.5,102,3,14,2293,2,No,Yes,No,227465,5,Low
1492,1824,Yes,1.9,Yes,9,Yes,2,0.7,103,1,14,3958,19,Yes,Yes,No,55250,24,High
1493,1130,Yes,0.5,Yes,1,Yes,29,0.7,130,1,14,432,10,Yes,Yes,Yes,786911,6,Very Low
1494,1183,Yes,0.5,Yes,3,Yes,48,0.1,120,8,12,1152,3,Yes,No,No,270680,24,Very Low
1495,574,Yes,2,Yes,0,Yes,26,0.5,118,6,2,1303,2,Yes,No,Yes,521048,32,Very Low
1496,1472,No,3,No,4,Yes,20,0.3,169,2,6,797,11,Yes,Yes,No,395156,6,Very Low
1497,1868,Yes,0.5,No,2,Yes,40,0.9,179,8,17,298,17,Yes,Yes,No,509184,16,Very Low
1498,1375,No,2.9,No,2,No,20,0.4,147,6,7,3847,12,Yes,No,Yes,404684,0,High
1499,881,No,1,No,1,No,64,0.5,160,3,6,2110,6,Yes,Yes,Yes,73140,162,Low
1500,1742,Yes,0.5,Yes,5,Yes,43,0.9,176,3,7,1921,3,Yes,Yes,No,500892,18,Average
1501,1225,No,0.7,Yes,6,No,60,0.1,107,2,15,2423,6,Yes,No,No,15670,187,Average
1502,1970,Yes,0.5,Yes,0,Yes,15,1,132,2,0,1658,20,Yes,Yes,Yes,2355916,135,Average
1503,1186,Yes,0.5,Yes,2,No,21,0.4,160,8,4,2361,7,Yes,No,No,39712,136,Low
1504,1762,No,0.7,No,7,No,60,0.1,157,4,10,1380,14,Yes,No,No,507970,70,Low
1505,1731,Yes,1.4,Yes,4,Yes,4,0.5,163,6,18,3892,4,Yes,Yes,Yes,1608292,5,High
1506,852,No,1.8,Yes,5,Yes,8,0.8,160,5,9,315,20,Yes,No,No,921367,42,Very Low
1507,848,Yes,1.5,Yes,4,Yes,36,0.3,151,4,16,2289,19,Yes,Yes,Yes,29512,20,Low
1508,1575,No,2.5,Yes,0,Yes,11,0.2,185,7,20,2182,17,Yes,Yes,No,402456,21,Average
1509,1554,No,2.8,Yes,7,No,23,0.1,105,6,18,2184,20,Yes,No,Yes,1042908,117,Average
1510,1972,Yes,1.6,No,0,No,48,0.5,92,8,2,2872,11,Yes,No,Yes,233160,14,High
1511,827,Yes,0.6,Yes,9,Yes,35,0.2,87,6,17,2367,15,Yes,No,Yes,18998,15,Low
1512,1063,No,1.5,No,7,No,3,0.9,155,4,10,1919,20,Yes,Yes,No,334506,120,Low
1513,1695,No,2.3,Yes,1,No,34,0.4,84,5,10,3296,14,No,No,No,1242046,102,High
1514,1343,No,2.4,Yes,5,Yes,14,0.9,81,8,10,462,11,Yes,Yes,Yes,1280915,126,Very Low
1515,834,No,0.5,No,2,Yes,27,0.2,123,1,16,1591,20,Yes,Yes,No,2078923,99,Low
1516,595,No,2.6,No,0,Yes,20,0.4,122,2,18,1593,2,Yes,No,Yes,508368,209,Very Low
1517,1081,Yes,1.9,Yes,13,Yes,42,0.1,101,7,17,2456,7,Yes,No,No,67728,28,Low
1518,911,No,1.4,Yes,3,No,14,0.7,199,4,4,2933,11,No,Yes,No,2644596,48,High
1519,844,No,2.2,Yes,1,Yes,22,0.9,197,7,2,3154,7,Yes,No,No,1550115,154,High
1520,1335,Yes,3,No,3,No,60,0.8,180,2,4,3615,9,Yes,No,No,46397,10,High
1521,1883,No,1.6,No,9,No,24,0.1,87,1,16,3563,3,No,No,No,185745,170,High
1522,1128,Yes,0.5,Yes,6,No,33,0.6,147,8,7,1440,19,Yes,No,No,1149988,255,Low
1523,826,Yes,2.4,Yes,14,Yes,57,0.6,117,2,17,1907,5,Yes,No,No,1274091,210,Low
1524,1650,No,2.3,No,0,Yes,38,0.7,89,1,1,324,2,Yes,Yes,Yes,681013,140,Very Low
1525,1162,No,1,No,0,No,50,0.5,104,4,10,1404,15,Yes,Yes,Yes,287512,30,Low
1526,1517,No,2.5,No,2,Yes,8,0.8,169,4,18,2738,12,Yes,No,No,937650,288,Average
1527,963,No,0.5,No,1,Yes,60,0.8,156,3,3,2722,16,Yes,No,No,609182,72,Average
1528,1837,No,1,Yes,5,Yes,12,0.9,103,8,6,2294,20,Yes,No,Yes,2185380,56,High
1529,1028,Yes,2.8,No,1,Yes,30,0.1,193,1,10,1424,13,Yes,No,Yes,3463323,72,Low
1530,1831,Yes,2.2,Yes,4,No,55,1,189,8,9,1133,10,No,Yes,No,3030470,42,Low
1531,571,Yes,2,Yes,5,Yes,58,0.6,101,6,11,555,11,Yes,No,Yes,47616,190,Very Low
1532,1770,Yes,2.3,No,0,No,9,0.6,183,6,5,3785,14,Yes,No,Yes,1507554,130,High
1533,970,Yes,1.3,Yes,5,No,59,0.2,84,7,19,3675,12,No,No,No,3152290,0,High
1534,642,Yes,0.5,No,0,Yes,38,0.8,86,5,10,435,2,Yes,Yes,No,1574425,18,Very Low
1535,622,Yes,1.9,Yes,12,No,11,0.8,193,8,14,3183,4,Yes,Yes,Yes,1492640,0,Average
1536,600,Yes,1.8,No,9,Yes,6,0.8,199,2,15,3495,7,Yes,Yes,No,501552,68,Average
1537,1412,No,0.6,No,9,No,57,0.2,86,3,10,1853,18,No,No,Yes,1320,150,Low
1538,733,No,0.8,No,7,No,16,0.4,138,4,12,2648,19,Yes,Yes,No,360974,0,Average
1539,1070,Yes,3,No,9,No,19,0.8,160,7,16,2647,20,No,Yes,No,145260,182,Average
1540,875,Yes,0.7,Yes,1,No,30,0.7,146,8,8,702,15,Yes,Yes,Yes,400057,285,Very Low
1541,1994,Yes,0.7,No,5,No,5,0.4,189,2,7,1836,18,Yes,No,No,132956,132,Average
1542,823,No,1,Yes,9,Yes,18,0.2,182,5,16,3894,9,Yes,Yes,No,1593000,130,High
1543,1908,No,0.5,No,9,Yes,30,1,111,2,19,2944,17,Yes,No,Yes,146440,323,High
1544,790,No,0.5,Yes,7,Yes,44,0.1,89,8,8,3424,9,Yes,Yes,No,1580700,143,High
1545,1330,Yes,1.8,Yes,1,No,40,0.5,177,1,5,2678,14,Yes,Yes,Yes,173048,36,Average
1546,1660,No,0.5,No,2,Yes,15,0.7,100,8,8,2424,9,Yes,Yes,No,250360,60,Average
1547,1776,No,2.2,No,2,No,20,0.9,82,6,16,2671,12,No,Yes,Yes,2818089,150,High
1548,1611,No,0.5,Yes,4,Yes,27,0.9,199,1,10,3078,6,Yes,No,Yes,164793,30,Average
1549,1410,Yes,0.5,Yes,0,Yes,15,0.3,92,3,1,2304,18,Yes,Yes,No,251712,72,Average
1550,1772,Yes,1.6,No,17,Yes,45,0.5,159,2,18,1146,17,Yes,Yes,No,1175985,6,Low
1551,1280,Yes,1.3,No,0,Yes,39,1,108,7,1,2335,2,Yes,No,Yes,209328,24,Low
1552,1712,Yes,0.9,Yes,2,No,23,1,155,7,19,1422,15,Yes,Yes,No,102765,0,Low
1553,1562,Yes,0.7,No,0,No,55,0.1,140,8,1,2096,3,No,No,No,1832832,45,Average
1554,891,No,1.9,Yes,1,Yes,18,0.1,153,6,3,1303,4,Yes,Yes,Yes,57400,272,Very Low
1555,1957,No,1.2,Yes,18,Yes,36,0.8,151,2,19,1115,18,Yes,No,Yes,2062038,32,Low
1556,1110,No,0.6,No,1,No,42,0.9,192,5,2,456,18,Yes,Yes,No,1487898,96,Very Low
1557,875,Yes,1.4,Yes,1,Yes,43,0.6,104,8,3,3396,18,Yes,No,No,874038,28,High
1558,1211,Yes,1.2,No,0,No,28,0.3,130,2,3,2750,14,No,Yes,No,55854,6,Average
1559,769,No,0.5,Yes,12,Yes,54,0.2,112,4,19,941,20,Yes,No,Yes,2465300,120,Very Low
1560,671,No,2.9,No,7,Yes,2,0.1,95,6,19,2278,2,Yes,No,No,992838,52,Average
1561,1872,No,0.5,No,5,Yes,26,0.5,172,4,10,2273,8,Yes,No,Yes,731136,32,Average
1562,1076,No,2.3,Yes,0,Yes,14,0.7,191,5,0,2355,2,Yes,Yes,Yes,1869184,272,Average
1563,1325,No,1.9,No,2,No,50,0.1,146,1,10,2328,2,Yes,No,No,346805,170,Average
1564,911,Yes,2.2,Yes,1,Yes,28,0.5,182,2,2,2638,13,Yes,Yes,Yes,119791,32,Low
1565,1273,Yes,0.7,No,1,No,23,0.6,178,6,14,558,13,Yes,No,No,678515,40,Very Low
1566,1062,No,0.5,No,3,Yes,39,0.9,124,4,4,1345,11,Yes,No,Yes,466507,0,Very Low
1567,1317,No,1.5,No,6,No,12,0.1,154,2,9,425,11,Yes,Yes,Yes,233602,0,Very Low
1568,940,No,2.9,No,0,No,16,0.7,115,4,1,2192,9,Yes,Yes,Yes,543910,195,Low
1569,729,Yes,2,No,0,No,14,0.6,135,6,2,3397,17,Yes,No,Yes,593965,285,Average
1570,1494,No,2.4,No,6,Yes,3,0.9,93,7,17,1208,17,Yes,Yes,No,946832,182,Low
1571,1546,Yes,1.6,Yes,2,Yes,27,0.7,124,2,6,267,16,Yes,Yes,No,1696758,120,Very Low
1572,1253,No,0.7,No,0,Yes,34,0.9,113,4,10,3518,8,Yes,Yes,Yes,104167,21,High
1573,895,No,0.5,Yes,6,No,16,0.3,164,8,14,3122,4,No,No,Yes,198450,0,Average
1574,793,Yes,1.9,Yes,0,Yes,43,0.3,124,8,2,1050,3,Yes,Yes,Yes,17940,99,Very Low
1575,1628,Yes,1.8,Yes,11,No,56,0.1,136,2,13,3358,12,Yes,Yes,Yes,856500,187,High
1576,625,No,2.7,Yes,2,No,42,0.8,138,8,3,2929,17,Yes,No,No,359513,40,Average
1577,1110,No,1.5,No,2,Yes,12,0.3,153,8,5,624,15,Yes,No,No,1873950,63,Very Low
1578,999,No,1.7,No,6,No,49,0.6,132,1,17,1598,8,No,Yes,No,1197760,0,Low
1579,1856,No,0.5,Yes,0,Yes,24,0.1,155,5,1,2052,10,Yes,Yes,No,319935,102,Average
1580,1715,No,2.6,Yes,9,Yes,15,0.6,120,6,20,1249,4,Yes,Yes,No,210786,32,Low
1581,1897,Yes,1.9,No,2,Yes,54,0.3,154,2,7,412,2,Yes,No,No,464940,187,Very Low
1582,1202,Yes,2.4,Yes,0,No,19,0.1,122,2,1,595,3,No,No,No,703768,0,Very Low
1583,1171,Yes,1.7,Yes,2,No,19,0.3,167,7,19,263,8,No,No,No,187240,30,Very Low
1584,964,No,2,No,0,Yes,22,0.7,86,8,0,2577,5,Yes,Yes,No,277650,272,Average
1585,1973,Yes,2.4,Yes,6,No,46,0.1,193,4,10,639,3,No,No,Yes,594849,0,Very Low
1586,1992,Yes,0.6,Yes,11,No,2,0.1,141,1,14,3206,10,Yes,Yes,No,580855,90,High
1587,546,Yes,2.6,Yes,5,No,26,1,159,5,15,1550,3,No,Yes,No,689728,14,Low
1588,1093,No,0.5,No,1,Yes,31,0.6,171,2,12,1646,6,Yes,Yes,No,1860200,0,Low
1589,1880,Yes,2,No,11,No,35,0.1,200,4,14,1930,15,No,Yes,No,1844190,119,Average
1590,1765,No,1.1,No,3,No,11,0.7,87,2,7,3695,18,Yes,No,No,981125,30,High
1591,1640,No,0.5,Yes,1,Yes,36,0.9,87,8,11,3235,10,Yes,No,Yes,1199184,6,High
1592,1830,No,0.5,No,0,No,7,0.9,191,6,12,2334,14,No,Yes,No,728180,56,Average
1593,826,No,0.6,No,3,No,62,0.7,187,4,19,1998,17,No,No,No,1256470,68,Low
1594,1864,No,2.2,No,0,Yes,7,0.1,142,1,2,2258,10,Yes,No,No,347625,10,Average
1595,586,Yes,0.6,No,16,Yes,42,0.3,121,7,17,1869,7,Yes,Yes,Yes,877630,24,Low
1596,1206,No,3,Yes,10,Yes,30,0.6,127,3,13,1825,4,Yes,No,Yes,2708253,7,Average
1597,832,Yes,0.5,Yes,1,Yes,5,0.1,165,5,2,3946,14,Yes,Yes,Yes,17496,60,High
1598,848,Yes,2.8,No,1,No,8,0.1,103,7,3,436,15,Yes,Yes,Yes,9058,60,Very Low
1599,1851,No,2.9,No,0,No,53,0.7,112,6,2,2678,8,Yes,No,No,204450,0,Average
1600,1166,Yes,0.5,No,7,No,59,0.5,80,1,11,3887,7,Yes,No,Yes,278806,48,High
1601,1776,Yes,2.1,Yes,10,No,35,0.1,172,4,16,1813,20,Yes,Yes,Yes,173194,208,Low
1602,1254,Yes,1.2,No,2,Yes,27,0.2,134,2,10,817,16,Yes,Yes,Yes,1767136,14,Very Low
1603,1494,No,1.6,Yes,4,Yes,24,0.2,101,1,17,3614,9,Yes,No,No,1165010,180,High
1604,984,Yes,2.2,Yes,0,Yes,39,0.5,119,8,18,2013,16,Yes,Yes,No,108136,77,Low
1605,1179,Yes,0.8,No,1,No,5,0.9,154,5,17,543,18,No,No,Yes,1304677,56,Very Low
1606,513,No,1.9,No,8,No,27,0.4,174,8,13,3400,13,No,Yes,Yes,200220,96,Average
1607,557,No,0.5,Yes,3,No,17,0.2,89,6,4,2623,16,No,No,No,228620,272,Low
1608,744,No,1.7,Yes,0,Yes,33,0.5,105,4,2,2700,19,Yes,No,No,2457676,27,Average
1609,1129,Yes,0.8,Yes,9,Yes,21,0.6,116,2,10,1400,13,Yes,Yes,No,1919856,0,Low
1610,1148,No,2.3,Yes,0,Yes,58,0.3,170,5,20,3127,11,Yes,No,No,416928,70,Average
1611,1793,No,2.7,No,12,Yes,44,0.7,175,5,17,2803,6,Yes,Yes,Yes,955645,171,High
1612,1310,No,2.3,Yes,3,No,15,0.2,150,5,11,2518,5,No,Yes,Yes,925380,306,Average
1613,1604,No,1.2,No,1,No,6,0.5,191,6,15,3564,2,Yes,Yes,No,70856,14,High
1614,1676,No,1.6,No,2,No,37,0.2,145,1,3,2515,4,Yes,No,Yes,160398,112,Average
1615,1001,No,2.8,Yes,1,No,40,0.2,117,3,7,3654,10,Yes,Yes,Yes,1692792,117,High
1616,1086,No,2.7,No,0,Yes,24,0.1,135,8,19,3930,18,Yes,Yes,Yes,3703024,17,High
1617,1986,Yes,0.5,Yes,7,Yes,39,0.1,89,7,19,3476,17,Yes,Yes,No,150349,88,High
1618,634,Yes,0.8,No,5,No,41,0.2,192,1,12,3242,4,Yes,No,Yes,2523786,198,High
1619,502,No,0.8,No,7,No,52,1,82,6,8,2666,20,Yes,Yes,No,325679,20,Average
1620,1641,No,1.1,No,6,No,48,0.7,97,8,7,1695,17,Yes,No,Yes,446656,78,Average
1621,623,No,1.4,Yes,0,Yes,15,0.2,189,3,1,3510,18,Yes,No,Yes,656632,56,Average
1622,962,Yes,1.1,Yes,3,No,17,0.1,161,8,20,3438,20,No,No,No,777504,42,High
1623,1057,Yes,2.7,No,3,Yes,41,0.1,97,4,10,2033,2,Yes,Yes,No,353727,144,Low
1624,1862,No,1.5,No,1,No,62,1,182,1,2,1017,9,Yes,No,No,403756,33,Low
1625,555,Yes,3,Yes,5,Yes,38,0.8,193,2,10,1686,8,Yes,No,Yes,421580,8,Low
1626,1000,No,2.7,No,1,Yes,58,1,135,5,12,862,20,Yes,No,No,384013,0,Very Low
1627,841,No,0.5,No,6,Yes,11,0.3,81,5,14,957,11,Yes,Yes,No,84375,30,Very Low
1628,865,No,2.9,No,5,No,16,0.1,89,4,12,3494,14,No,No,Yes,338015,39,High
1629,999,No,2.6,Yes,11,Yes,56,1,165,4,13,3083,11,Yes,Yes,Yes,561222,32,Average
1630,1232,No,1.2,No,12,No,30,0.9,131,6,14,1656,15,Yes,Yes,Yes,475625,32,Low
1631,1194,No,2.3,No,6,Yes,34,0.2,165,2,12,313,19,Yes,Yes,No,251446,15,Very Low
1632,612,Yes,0.5,Yes,1,Yes,20,0.8,179,8,6,3282,18,Yes,Yes,Yes,1702615,32,High
1633,1362,Yes,2.9,No,0,No,47,0.5,186,6,4,3629,5,No,Yes,Yes,625200,323,High
1634,1469,No,1.7,Yes,11,Yes,44,0.5,169,2,14,1687,5,Yes,Yes,Yes,344124,75,Low
1635,986,Yes,0.8,No,13,Yes,28,0.8,182,4,20,1149,18,Yes,Yes,No,135121,56,Very Low
1636,1843,No,2.8,No,1,Yes,62,0.8,104,3,7,3899,6,Yes,No,Yes,17472,20,High
1637,1561,No,0.5,Yes,10,Yes,4,0.5,134,2,13,1783,10,Yes,Yes,No,1602735,156,Average
1638,1695,Yes,0.5,Yes,2,Yes,47,0.5,189,5,13,1629,11,Yes,Yes,No,372064,48,Low
1639,667,No,2.6,Yes,3,No,8,0.8,185,1,7,2528,8,No,Yes,No,1976205,88,Average
1640,1768,Yes,2,No,0,Yes,2,0.8,88,7,2,3256,5,Yes,Yes,No,2363642,54,High
1641,1269,Yes,2.8,Yes,16,No,41,1,180,8,17,2341,16,No,No,Yes,420616,90,Average
1642,1109,Yes,2.8,Yes,6,No,57,0.9,151,1,12,2785,16,Yes,No,No,103292,150,Average
1643,936,No,0.5,Yes,14,Yes,14,0.1,164,3,17,3761,12,Yes,No,No,251550,13,High
1644,1713,Yes,2,No,9,Yes,5,0.7,199,6,16,1513,2,Yes,No,Yes,212004,90,Low
1645,1175,Yes,1.7,Yes,1,Yes,45,0.6,167,2,7,2240,5,Yes,Yes,No,50130,60,Low
1646,1940,Yes,1,Yes,0,Yes,5,0.2,194,4,1,820,3,Yes,Yes,Yes,1063692,342,Low
1647,855,Yes,0.5,No,2,Yes,59,0.5,159,2,3,1875,8,Yes,Yes,Yes,1229488,128,Low
1648,771,Yes,0.5,Yes,0,Yes,33,0.1,157,3,17,920,10,Yes,Yes,Yes,967672,32,Very Low
1649,645,No,2.5,No,10,Yes,63,1,174,4,14,3615,13,Yes,No,Yes,162352,144,Average
1650,1307,No,1.8,No,2,No,7,0.6,88,7,3,1412,5,No,No,Yes,989391,144,Low
1651,1948,No,2.9,Yes,4,No,5,0.2,136,1,13,361,10,No,Yes,No,455700,6,Very Low
1652,1509,No,0.6,Yes,5,No,50,0.3,81,4,8,1540,3,Yes,Yes,No,1700840,96,Low
1653,626,Yes,2.8,Yes,3,Yes,11,0.8,109,2,9,1077,4,Yes,No,Yes,1296383,6,Very Low
1654,1190,No,2,Yes,0,No,40,0.2,93,5,1,3610,9,No,No,Yes,2302754,91,High
1655,1727,Yes,2.1,Yes,10,No,57,0.3,158,6,18,512,6,No,No,No,484288,10,Very Low
1656,1670,Yes,3,No,14,No,62,0.5,114,8,20,3024,20,No,No,Yes,1485610,0,High
1657,1150,Yes,0.5,Yes,4,Yes,27,1,134,1,17,1610,16,Yes,No,No,455598,0,Low
1658,1208,No,2.9,No,5,Yes,16,1,175,1,19,2201,12,Yes,No,No,710348,272,Low
1659,1812,Yes,1.3,Yes,4,Yes,42,1,162,7,15,3338,11,Yes,Yes,Yes,589000,234,High
1660,770,Yes,1.5,Yes,6,No,61,0.2,196,4,9,3473,4,No,No,Yes,894249,21,High
1661,1559,Yes,1.3,Yes,10,Yes,10,0.3,114,8,17,2203,15,Yes,Yes,Yes,79677,35,Low
1662,1902,No,0.5,No,10,No,13,0.2,155,4,11,940,15,Yes,Yes,No,671782,140,Low
1663,1751,No,2.5,No,1,No,4,0.6,146,8,9,1155,12,No,Yes,Yes,2926048,266,Low
1664,1416,Yes,1.8,Yes,0,No,20,0.1,93,4,0,3872,7,No,No,Yes,1854150,20,High
1665,1288,No,0.5,Yes,3,Yes,61,0.2,115,6,6,1882,10,Yes,No,Yes,1484964,96,Average
1666,1003,Yes,2.9,No,16,Yes,16,0.6,119,8,19,1798,10,Yes,No,No,361950,112,Low
1667,1715,Yes,0.5,Yes,1,Yes,18,0.1,96,6,3,2598,3,Yes,No,No,926750,34,High
1668,1967,No,0.5,No,0,Yes,46,0.6,199,1,7,1567,7,Yes,Yes,No,711732,30,Low
1669,962,No,1,Yes,14,No,2,0.9,125,1,20,1491,14,Yes,No,No,3100088,32,Low
1670,1487,No,1.5,No,5,Yes,42,0.8,120,2,7,2003,3,Yes,No,No,847573,48,Average
1671,1569,Yes,1.6,Yes,4,Yes,54,0.9,190,4,6,3905,4,Yes,No,No,246715,12,High
1672,1146,No,3,No,5,Yes,57,0.4,111,5,10,291,11,Yes,Yes,Yes,42559,171,Very Low
1673,1379,Yes,1.5,No,6,Yes,9,0.8,118,8,13,1693,18,Yes,No,Yes,73990,44,Low
1674,1504,No,1.9,Yes,7,Yes,25,0.3,152,4,9,1788,13,Yes,No,Yes,731935,143,Low
1675,1945,No,1.2,No,3,No,26,0.7,112,6,5,3322,20,No,No,Yes,1638560,126,High
1676,1630,Yes,2.8,Yes,0,Yes,32,0.9,80,6,1,1751,20,Yes,No,Yes,1228912,120,Average
1677,1125,Yes,2.7,No,10,No,23,0.4,117,1,14,1641,12,Yes,Yes,No,726786,112,Low
1678,614,Yes,0.7,No,4,Yes,51,0.1,178,7,7,2854,12,Yes,No,Yes,1052480,70,Average
1679,854,No,1,No,5,Yes,17,0.9,101,4,9,3115,2,Yes,No,No,838040,0,Average
1680,1470,Yes,1.7,Yes,6,No,45,0.1,121,1,9,3259,14,Yes,No,Yes,846930,10,High
